Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
5               6.91           2.51              0              0          23.41          16.51          28.43          21.52
4               6.86           5.21              1              1          15.06            8.2          28.84          21.98
7               8.28           5.44              0              0          28.43          20.15          30.13          21.85
9               8.49           5.34              0              0          30.13          21.64          39.66          31.17
6               7.02          12.42              1              1          28.84          21.82          43.24          36.22
8               8.44           3.26              1              1          43.24           34.8          45.91          37.47
11              10.2          10.36              0              0          39.66          29.46          48.81          38.61
13             10.87          16.89              0              0          48.81          37.93          50.46          39.59
10             10.15          10.74              1              1          45.91          35.77          55.41          45.26
15             11.77          23.92              0              0          50.46          38.69          62.41          50.64
12             10.58           0.51              1              1          55.41          44.83          74.38           63.8
14             10.93          13.13              1              1          74.38          63.44          77.51          66.58
17             12.76           8.92              0              0          62.41          49.65          79.03          66.27
16             11.81           8.47              1              1          77.51           65.7          81.63          69.82
20             15.88           9.06              0              0          79.03          63.15          82.44          66.56
18             13.03          13.22              1              1          81.63           68.6          90.63           77.6
22             18.84           4.41              0              0          82.44          63.61           91.8          72.97
19             15.14             10              1              1          90.63          75.49           97.5          82.36
21             17.16           1.81              1              1           97.5          80.34         101.59          84.43
23             19.25           4.49              0              0           91.8          72.55         102.74          83.49
27             23.95           0.84              0              0         102.74           78.8         111.24           87.3
24             19.56           0.71              1              1         101.59          82.03         114.77          95.21
36             33.63           3.83              1              1         114.77          81.14         116.91          83.28
34             29.66          15.68              0              0         111.24          81.59          117.5          87.84
35             31.99          16.54              0              0          117.5          85.51         123.23          91.25
43             40.26           6.28              0              0         123.23          82.97         123.76           83.5
55             49.14          10.75              0              0         123.76          74.62         124.71          75.57
57             50.71           4.89              0              0         124.71             74          130.2          79.49
49             43.42          24.41              1              1         116.91          73.49         132.87          89.45
70             62.73           10.6              0              0          130.2          67.47         137.47          74.74
54             47.44           4.67              1              1         132.87          85.43         137.98          90.53
91             80.33           3.19              0              0         137.47          57.14         166.82          86.49
61              56.9           1.77              1              1         137.98          81.08         166.95         110.05
86             75.69           1.39              1              1         166.95          91.26         171.93          96.24
97              83.2           1.32              0              0         166.82          83.62         178.18          94.98
87             77.68           1.98              1              1         171.93          94.25         182.54         104.85
94             81.82          13.92              1              1         182.54         100.72         184.28         102.46
105            91.29           1.64              1              1         184.28          92.99          191.7          100.4
110            98.88           3.34              1              1          191.7          92.82         204.22         105.34
113           101.83           5.15              1              1         204.22         102.39         206.92         105.08
106            94.48           9.72              0              0         178.18           83.7         214.21         119.73
115           102.82           3.61              0              0         214.21         111.38         219.07         116.25
122           111.97           2.11              0              0         219.07          107.1         219.53         107.56
126           115.32           1.87              1              1         206.92           91.6          226.1         110.78
130           117.09          10.97              1              1          226.1         109.01         233.53         116.44
132           117.68           5.55              0              0         219.53         101.86         235.04         117.36
137           125.61           3.03              0              0         235.04         109.43         237.92         112.31
138           126.23          19.83              0              0         237.92         111.68         241.91         115.68
139           127.78           3.35              0              0         241.91         114.13          244.1         116.32
146           134.23           2.35              1              1         233.53           99.3         249.76         115.53
143           130.66           1.72              0              0          244.1         113.44         250.42         119.76
151           138.66           11.7              0              0         250.42         111.76         254.45         115.79
182           166.85           1.15              0              0         254.45          87.61         264.93          98.08
194           178.27            0.3              0              0         264.93          86.66         267.81          89.54
237           214.74           6.31              0              0         267.81          53.07         269.88          55.15
243           223.97           1.61              0              0         269.88          45.91         271.01          47.04
244           224.28           4.44              0              0         271.01          46.74         277.87          53.59
255           236.58           27.7              0              0         277.87          41.29         284.28           47.7
152           139.46          11.19              1              1         249.76          110.3          296.3         156.84
183           167.39           1.13              1              1          296.3         128.92         298.43         131.05
186           172.17           3.53              1              1         298.43         126.26         299.44         127.26
200           183.25           8.49              1              1         299.44         116.19         301.78         118.54
257           239.15          19.06              0              0         284.28          45.13         305.62          66.48
202           184.92          12.69              1              1         301.78         116.86         307.11         122.19
208           192.83            0.8              1              1         307.11         114.28          323.5         130.67
261           241.92          10.92              0              0         305.62           63.7         330.05          88.13
225           204.58            5.7              1              1          323.5         118.93          336.6         132.02
265           247.23            5.3              0              0         330.05          82.82         344.03           96.8
229           208.66           3.51              1              1          336.6         127.94          344.8         136.14
246           229.91           4.12              1              1          344.8         114.89         348.03         118.12
253           233.54           3.86              1              1         348.03         114.49         349.33         115.79
266           250.43           3.24              0              0         344.03           93.6         354.79         104.36
267           252.22           8.14              1              1         349.33          97.11         359.03         106.81
269           254.55           9.37              0              0         354.79         100.24          371.6         117.05
311            297.8          23.81              1              1         359.03          61.22         378.28          80.47
282           265.33            8.7              0              0          371.6         106.27         379.54         114.21
313           298.61           5.54              1              1         378.28          79.66         385.15          86.54
316           299.98          15.82              1              1         385.15          85.18         405.77         105.79
285           268.75           2.37              0              0         379.54         110.79         408.51         139.76
318           303.14          30.37              1              1         405.77         102.63         415.01         111.87
323           307.21           0.22              1              1         415.01          107.8         415.74         108.53
339           324.13           0.53              1              1         415.74          91.61         425.03          100.9
355           339.11           0.81              1              1         425.03          85.92         426.17          87.06
359           345.94           6.52              1              1         426.17          80.23         430.83          84.89
361           348.06           0.84              1              1         430.83          82.77         432.48          84.42
288           270.18          18.55              0              0         408.51         138.33         438.71         168.53
363           351.77           1.84              1              1         432.48          80.71          442.6          90.83
371           359.55           6.88              1              1          442.6          83.05         444.65           85.1
291           271.77          26.62              0              0         438.71         166.94         445.52         173.75
394           379.13           1.79              1              1         444.65          65.52         452.45          73.31
398           387.06           1.86              1              1         452.45          65.38         456.12          69.06
299           278.37           3.52              0              0         445.52         167.15         459.98         181.61
303           285.55           17.2              0              0         459.98         174.43         460.15         174.61
321           305.75           8.92              0              0         460.15          154.4          466.7         160.95
345           330.43          18.73              0              0          466.7         136.27         472.09         141.65
358           345.15           6.09              0              0         472.09         126.93         475.69         130.53
419           405.77           15.6              1              1         456.12          50.35         476.33          70.56
366           355.19           0.34              0              0         475.69          120.5         479.94         124.74
387           372.01          12.85              0              0         479.94         107.93          482.4         110.39
395           381.78          24.14              0              0          482.4         100.62         482.96         101.18
427           415.07          55.01              1              1         476.33          61.27         483.11          68.04
429           415.99           0.01              1              1         483.11          67.11         487.54          71.55
438           425.17           1.41              1              1         487.54          62.37         490.45          65.27
439           428.94           4.62              1              1         490.45          61.51          493.8          64.86
421            410.8           2.92              0              0         482.96          72.16         494.55          83.75
445           438.73           5.07              0              0         494.55          55.82         508.22          69.49
440           431.33           0.23              1              1          493.8          62.46         511.47          80.14
441           433.29           7.87              1              1         511.47          78.18         513.78          80.49
455           446.71           5.77              0              0         508.22          61.51         520.45          73.74
466              460           3.86              0              0         520.45          60.45         521.87          61.87
